full_id,gender,stadi1,stadi5,stadi9,stadi13,stadi17,aqf1,aqf2,aqf3,aqf4,aqf5,aqf6,aqf7,aqf8,apq26,apq28,apq35,apq40,apq40.r,emotionality,hostility,punishment
1204,Männlich,2,2,2,2,1,1,2,1,1,3,2,2,1,1,1,1,5,1,1.8,1.625,1
1205,Männlich,2,2,2,3,3,1,3,2,2,2,2,2,2,4,5,3,2,4,2.4,2,4
1206,Weiblich,3,1,1,1,1,1,2,3,1,3,2,3,1,1,1,1,5,1,1.4,2,1
1207,Weiblich,3,3,2,3,3,2,2,2,2,3,3,3,3,1,3,3,3,3,2.8,2.5,2.5
1208,Weiblich,2,2,2,3,2,1,1,2,2,3,2,3,2,1,1,2,3,3,2.2,2,1.75
1210,Weiblich,3,2,3,4,1,3,2,2,1,4,1,3,1,1,1,3,1,5,2.6,2.125,2.5
1211,Männlich,2,1,2,4,2,1,1,2,1,3,1,3,1,1,1,1,4,2,2.2,1.625,1.25
1212,Weiblich,2,1,1,1,1,1,4,4,2,2,3,4,1,4,3,3,3,3,1.2,2.625,3.25
1213,Weiblich,4,4,2,3,3,3,4,3,2,2,3,2,2,1,1,1,5,1,3.2,2.625,1
1214,Weiblich,3,3,3,3,3,3,3,2,4,3,3,3,2,1,4,1,5,1,3,2.875,1.75
1215,Männlich,2,2,2,2,2,1,2,2,1,3,2,2,2,1,1,1,4,2,2,1.875,1.25
1216,Männlich,2,2,1,2,2,1,1,1,2,2,2,3,2,1,1,1,5,1,1.8,1.75,1
1217,Weiblich,3,1,1,1,2,2,3,4,1,4,3,2,3,1,2,2,3,3,1.6,2.75,2
1219,Weiblich,2,1,2,2,1,1,2,1,3,1,3,1,3,1,1,2,3,3,1.6,1.875,1.75
1220,Männlich,2,2,1,2,1,2,1,1,1,4,2,2,2,2,2,3,5,1,1.6,1.875,2
1221,Weiblich,2,2,2,2,1,1,1,4,1,2,1,2,1,1,2,5,4,2,1.8,1.625,2.5
1222,Weiblich,3,4,3,3,3,1,3,3,3,4,3,4,2,1,1,1,5,1,3.2,2.875,1
1223,Männlich,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,5,1,1.2,1.375,1
1224,Weiblich,3,3,3,3,3,3,4,3,3,1,4,2,2,2,3,3,4,2,3,2.75,2.5
1225,Weiblich,4,3,1,2,1,1,4,4,1,4,1,4,1,1,1,1,5,1,2.2,2.5,1
1226,Männlich,2,1,1,1,1,1,1,2,2,2,2,3,2,1,1,1,3,3,1.2,1.875,1.5
1227,Weiblich,2,2,1,2,1,2,2,1,1,3,2,2,1,2,1,1,4,2,1.6,1.75,1.5
1228,Weiblich,2,2,2,2,2,2,3,3,2,2,2,3,2,1,2,3,4,2,2,2.375,2
1229,Weiblich,3,3,2,3,2,3,3,2,3,3,3,3,3,1,1,1,5,1,2.6,2.875,1
1230,Weiblich,2,2,2,1,2,1,4,4,2,3,1,1,1,1,1,1,3,3,1.8,2.125,1.5
1232,Männlich,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,3,3,2,1.625,2
1233,Männlich,2,2,1,2,2,1,1,1,1,2,2,3,2,1,1,1,5,1,1.8,1.625,1
1234,Weiblich,2,3,1,1,1,1,3,1,1,2,1,1,2,1,1,1,1,5,1.6,1.5,2
1235,Männlich,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,2,4,2,3,2.375,1.5
1236,Männlich,2,2,3,2,2,1,1,3,2,1,2,3,2,2,1,1,5,1,2.2,1.875,1.25
1237,Weiblich,2,2,2,2,1,2,3,2,2,3,2,2,2,4,3,2,4,2,1.8,2.25,2.75
1238,Weiblich,3,3,2,3,4,3,3,1,4,1,4,1,2,2,1,2,5,1,3,2.375,1.5
1239,Männlich,2,2,1,2,2,1,1,1,3,3,1,2,1,2,1,3,4,2,1.8,1.625,2
1240,Männlich,1,2,1,1,1,4,1,1,4,1,1,2,2,1,5,5,2,4,1.2,2,3.75
1241,Männlich,2,2,2,2,2,2,2,2,2,3,2,2,3,1,2,2,2,4,2,2.25,2.25
1242,Männlich,1,2,1,1,1,1,2,1,1,2,2,2,1,2,1,1,2,4,1.2,1.5,2
1243,Männlich,1,4,1,1,2,1,1,1,1,1,1,1,1,2,2,2,3,3,1.8,1,2.25
1244,Weiblich,2,2,3,3,2,2,2,2,1,3,2,3,2,2,2,1,5,1,2.4,2.125,1.5
1246,Männlich,1,2,2,2,3,1,2,2,2,2,3,3,2,1,1,5,4,2,2,2.125,2.25
1247,Weiblich,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,5,1,1.6,1.25,1
1248,Weiblich,2,2,2,2,1,1,4,1,1,2,3,2,2,1,1,1,5,1,1.8,2,1
1249,Weiblich,3,4,3,4,3,2,4,2,4,3,4,3,2,1,1,2,5,1,3.4,3,1.25
1250,Weiblich,3,3,2,2,2,3,3,2,3,2,4,2,2,1,2,1,3,3,2.4,2.625,1.75
1251,Männlich,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,5,1,1.8,1.875,1
1252,Weiblich,2,2,2,2,2,1,3,2,1,2,2,2,2,1,1,1,4,2,2,1.875,1.25
1253,Weiblich,3,3,2,2,2,2,3,1,3,3,2,2,1,2,1,1,4,2,2.4,2.125,1.5
