"";"full_id";"gender";"stadi1";"stadi2";"stadi3";"stadi4";"stadi5";"stadi6";"stadi7";"stadi8";"stadi9";"stadi10";"stadi11";"stadi12";"stadi13";"stadi14";"stadi15";"stadi16";"stadi17";"stadi18";"stadi19";"stadi20";"rse1";"rse2";"rse3";"rse4";"rse5";"rse6";"rse7";"rse8";"rse9";"rse10";"apq26";"apq28";"apq35";"apq40";"rse2.r";"rse5.r";"rse6.r";"rse8.r";"rse9.r";"stadi3.r";"stadi7.r";"stadi11.r";"stadi15.r";"stadi19.r";"apq40.r";"depression";"angst";"selbstwert";"strafen";"negative_affect";"negative_affect_z";"selbstwert_z"
"428";2136;"Weiblich";3;4;2;2;2;4;3;2;3;4;2;3;2;3;2;2;4;3;2;2;3;4;3;2;3;3;3;4;3;3;1;1;2;5;2;3;3;2;3;3;2;3;3;3;1;2,5;3,2;2,9;1,25;5,7;1,42565413063412;-1,28870963716517
"429";2137;"Männlich";2;2;3;1;2;1;3;1;1;2;3;1;2;1;3;1;2;2;3;2;4;1;5;5;2;1;5;3;1;4;1;1;1;4;5;4;5;3;5;2;2;2;2;2;2;1,6;1,7;4,5;1,25;3,3;-0,869182935113164;1,26805549705035
"430";2139;"Männlich";1;2;3;3;4;2;4;3;2;4;3;3;2;2;2;4;3;3;4;2;5;5;5;5;4;4;5;5;5;5;4;3;5;4;1;2;2;1;1;2;1;2;3;1;2;2,4;2,5;3,6;3,5;4,9;0,660708442051689;-0,170124890945877
"431";2140;"Weiblich";2;2;4;1;2;2;3;2;1;2;4;1;2;2;3;2;2;2;3;1;4;3;4;4;2;3;4;1;2;4;2;1;3;4;3;4;3;5;4;1;2;1;2;2;2;1,5;1,9;3,5;2;3,4;-0,773564724040361;-0,329922711834347
"432";2141;"Männlich";2;1;4;1;2;2;4;2;1;3;3;1;1;2;4;1;3;2;4;1;4;1;5;5;1;1;1;4;1;5;1;1;3;5;5;5;5;2;5;1;1;2;1;1;1;1,2;1,9;4,4;1,5;3,1;-1,06041935725877;1,10825767616188
"433";2142;"Weiblich";2;4;4;4;2;3;4;2;4;4;3;2;4;4;4;4;1;4;4;3;1;5;3;4;1;4;1;5;5;2;1;1;1;5;1;5;2;1;1;1;1;2;1;1;1;2,1;3,2;2,5;1;5,3;1,0431812863429;-1,92790092071905
"434";2143;"Weiblich";2;2;2;2;3;2;4;2;2;1;2;3;3;2;2;2;3;2;2;2;4;1;4;5;1;1;5;2;1;4;2;4;2;4;5;5;5;4;5;3;1;3;3;3;2;2,4;2,2;4,4;2,5;4,6;0,373853808833279;1,10825767616188
"435";2144;"Weiblich";2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;3;1;4;4;1;3;4;1;1;3;1;1;1;4;5;5;3;5;5;3;3;3;3;3;2;2,3;1,8;3,7;1,25;4,1;-0,104237246530738;-0,0103270700574068
"436";2145;"Männlich";3;3;2;2;2;3;2;2;1;2;2;2;2;2;2;2;2;3;2;2;3;3;3;3;3;3;3;3;3;3;1;2;1;4;3;3;3;3;3;3;3;3;3;3;2;2,5;2,3;3;1,5;4,8;0,565090230978886;-1,1289118162767
"437";2146;"Männlich";2;3;4;1;2;2;3;2;1;3;4;1;2;2;3;2;2;2;4;1;4;2;4;5;3;2;4;3;1;4;2;1;3;5;4;3;4;3;5;1;2;1;2;1;1;1,4;2,1;4;1,75;3,5;-0,677946512967557;0,469066392608003
"438";2147;"Weiblich";2;1;3;1;2;1;2;1;2;1;2;1;1;1;3;1;2;2;2;1;4;1;4;5;1;1;5;1;1;5;1;1;1;4;5;5;5;5;5;2;3;3;2;3;2;1,8;1,5;4,4;1,25;3,3;-0,869182935113164;1,10825767616188
"439";2148;"Männlich";4;3;2;3;3;4;3;2;3;3;4;3;2;2;3;4;3;2;2;2;5;3;NA;4;4;3;3;4;5;4;3;3;3;3;3;2;3;2;1;3;2;1;2;3;3;2,5;2,9;3,22222222222222;3;5,4;1,13879949741571;-0,773805547635656
"440";2149;"Männlich";2;2;4;1;2;2;3;1;1;2;3;1;2;1;3;1;1;2;4;1;4;3;5;4;3;3;5;1;2;5;2;1;1;5;3;3;3;5;4;1;2;2;2;1;1;1,3;1,7;3,7;1,25;3;-1,15603756833157;-0,0103270700574068
"441";2150;"Weiblich";2;2;3;2;2;2;3;2;2;3;2;2;2;1;3;2;2;1;3;2;4;2;4;4;1;1;5;1;1;4;1;1;1;3;4;5;5;5;5;2;2;3;2;2;3;2,1;1,9;4,1;1,5;4;-0,199855457603541;0,628864213496472
"442";2151;"Weiblich";2;2;4;1;2;2;3;2;2;2;3;1;2;2;3;3;3;2;3;2;5;2;5;3;2;1;4;5;1;4;3;2;3;4;4;4;5;1;5;1;2;2;2;2;2;1,8;2,1;4,4;2,5;3,9;-0,295473668676344;1,10825767616188
"443";2152;"Männlich";2;3;4;2;2;2;3;1;1;1;3;2;2;2;3;2;2;2;3;2;4;3;4;4;3;3;3;3;3;3;1;1;1;5;3;3;3;3;3;1;2;2;2;2;1;1,8;1,9;3,3;1;3,7;-0,48671009082195;-0,649518353611287
"444";2153;"Weiblich";2;2;3;1;2;1;3;1;2;1;3;1;1;1;4;1;2;1;3;1;4;1;4;4;2;2;5;1;1;4;1;1;1;5;5;4;4;5;5;2;2;2;1;2;1;1,4;1,5;4;1;2,9;-1,25165577940438;0,469066392608003
"445";2154;"Weiblich";3;1;2;1;2;1;2;2;2;1;1;2;1;1;1;1;1;1;2;1;3;3;3;3;1;1;4;1;1;3;3;3;3;3;3;5;5;5;5;3;3;4;4;3;3;2,4;1,4;3,5;3;3,8;-0,391091879749148;-0,329922711834347
"446";2155;"Männlich";2;3;2;2;1;2;3;3;1;3;2;2;1;2;3;2;1;2;2;2;4;3;3;3;2;2;5;2;1;3;1;1;1;1;3;4;4;4;5;3;2;3;2;3;5;2,4;1,8;3,6;2;4,2;-0,00861903545793394;-0,170124890945877
"447";2156;"Männlich";2;3;2;2;3;3;3;1;3;2;1;1;4;3;2;1;2;2;3;1;4;1;4;5;1;1;5;1;1;4;1;3;1;4;5;5;5;5;5;3;2;4;3;2;2;2;2,7;4,3;1,75;4,7;0,469472019906083;0,948459855273412
"448";2157;"Männlich";2;3;3;2;3;3;3;3;3;3;3;2;2;3;3;2;2;3;3;2;3;3;4;4;2;2;3;4;2;3;1;3;2;4;3;4;4;2;4;2;2;2;2;2;2;2,1;2,7;3,6;2;4,8;0,565090230978886;-0,170124890945877
"449";2158;"Weiblich";1;1;2;1;2;2;4;3;2;2;2;2;2;1;3;2;2;2;2;2;4;2;4;5;2;2;4;3;2;4;1;2;1;3;4;4;4;3;4;3;1;3;2;3;3;2,2;1,7;4;1,75;3,9;-0,295473668676344;0,469066392608003
"450";2159;"Weiblich";2;2;2;2;2;2;2;2;2;3;1;2;2;2;2;2;2;2;2;2;2;2;4;4;2;2;3;2;2;2;1;1;1;5;4;4;4;4;4;3;3;4;3;3;1;2,6;2,1;3,3;1;4,7;0,469472019906083;-0,649518353611287
"451";2161;"Männlich";4;4;4;4;4;3;3;3;4;4;4;4;4;4;3;4;4;4;4;3;5;5;5;5;5;5;4;4;5;5;5;4;5;5;1;1;1;2;1;1;2;1;2;1;1;2,5;3,9;3,2;3,75;6,4;2,09498160814374;-0,809316174499757
"452";2162;"Männlich";1;2;3;2;2;2;3;1;1;2;3;1;1;1;3;1;1;2;3;1;5;1;5;5;1;1;5;3;1;5;4;1;3;5;5;5;5;3;5;2;2;2;2;2;1;1,6;1,5;4,8;2,25;3,1;-1,06041935725877;1,74744895971576
"453";2163;"Weiblich";3;4;3;2;3;4;3;3;2;4;2;3;2;4;3;2;3;4;3;2;3;2;5;4;2;2;5;5;3;2;1;1;1;5;4;4;4;1;3;2;2;3;2;2;1;2,3;3,3;3,9;1;5,6;1,33003591956131;0,309268571719533
"454";2164;"Weiblich";2;3;4;1;2;3;4;1;2;3;4;2;3;1;3;2;3;3;4;2;5;2;5;4;2;1;4;5;1;4;3;5;3;3;4;4;5;1;5;1;1;1;2;1;3;1,4;2,5;4,5;3,5;3,9;-0,295473668676344;1,26805549705035
"455";2165;"Männlich";1;3;3;1;2;2;3;1;2;2;3;1;2;2;3;1;1;2;3;1;4;1;4;4;2;1;5;2;1;4;1;1;1;5;5;4;5;4;5;2;2;2;2;2;1;1,5;1,9;4,2;1;3,4;-0,773564724040361;0,788662034384943
