"";"full_id";"gender";"stadi1";"stadi5";"stadi9";"stadi13";"stadi17";"aqf1";"aqf2";"aqf3";"aqf4";"aqf5";"aqf6";"aqf7";"aqf8";"apq26";"apq28";"apq35";"apq40";"apq40.r";"emotionality";"hostility";"punishment";"emotionality_z";"hostility_z"
"268";1279;"Männlich";3;2;1;2;2;1;2;3;3;1;3;2;2;1;1;1;5;1;"2";"2.125";"1";-0,239447143904715;-0,0466513981504753
"269";1280;"Weiblich";2;3;2;2;2;3;3;2;3;3;2;3;3;1;1;1;5;1;"2.2";"2.75";"1";0,0981600998769604;0,9392089053512
"270";1281;"Weiblich";1;1;2;1;1;3;3;2;1;3;2;3;1;1;2;1;5;1;"1.2";"2.25";"1.25";-1,58987611903142;0,15052066254986
"271";1282;"Männlich";3;3;2;3;2;2;1;1;2;3;2;3;3;1;1;1;4;2;"2.6";"2.125";"1.25";0,77337458744031;-0,0466513981504753
"272";1283;"Weiblich";2;3;2;3;3;2;3;2;2;2;3;3;2;2;3;2;3;3;"2.6";"2.375";"2.5";0,77337458744031;0,347692723250195
"273";1284;"Männlich";2;2;2;2;2;1;3;1;1;3;1;1;1;1;1;1;5;1;"2";"1.5";"1";-0,239447143904715;-1,03251170165215
"274";1285;"Männlich";2;2;1;2;2;2;3;3;2;3;3;3;2;2;1;2;3;3;"1.8";"2.625";"2";-0,57705438768639;0,742036844650865
"275";1286;"Männlich";1;1;1;2;1;2;2;2;1;2;3;3;1;1;2;2;3;3;"1.2";"2";"2";-1,58987611903142;-0,24382345885081
"276";1287;"Männlich";1;3;4;4;3;3;4;3;4;3;4;4;4;1;1;5;5;1;"3";"3.625";"2";1,44858907500366;2,31941333025355
"277";1288;"Weiblich";3;3;2;3;1;1;2;1;1;3;1;2;1;1;1;1;5;1;"2.4";"1.5";"1";0,435767343658635;-1,03251170165215
"278";1289;"Weiblich";2;1;1;2;1;3;4;2;1;3;4;3;3;1;1;1;4;2;"1.4";"2.875";"1.25";-1,25226887524974;1,13638096605154
"279";1290;"Männlich";2;2;1;1;1;1;3;2;1;4;1;3;2;1;3;1;4;2;"1.4";"2.125";"1.75";-1,25226887524974;-0,0466513981504753
"280";1291;"Männlich";2;1;2;2;1;1;1;2;1;2;1;1;1;1;2;1;5;1;"1.6";"1.25";"1.25";-0,914661631468065;-1,42685582305282
"281";1292;"Männlich";1;1;1;2;1;1;2;2;1;2;2;2;1;1;1;1;4;2;"1.2";"1.625";"1.25";-1,58987611903142;-0,835339640951816
"282";1293;"Weiblich";2;2;2;1;1;2;3;1;1;2;2;2;3;1;2;2;5;1;"1.6";"2";"1.5";-0,914661631468065;-0,24382345885081
"283";1294;"Männlich";1;1;2;1;1;2;2;1;1;4;1;4;1;1;1;1;5;1;"1.2";"2";"1";-1,58987611903142;-0,24382345885081
"284";1295;"Weiblich";3;2;2;2;2;3;3;3;3;2;2;2;2;2;1;4;4;2;"2.2";"2.5";"2.25";0,0981600998769604;0,54486478395053
"285";1296;"Männlich";2;2;2;1;1;1;2;2;1;1;1;4;1;4;5;5;4;2;"1.6";"1.625";"4";-0,914661631468065;-0,835339640951816
"286";1297;"Männlich";3;4;2;3;3;2;4;3;1;2;3;2;3;1;2;2;5;1;"3";"2.5";"1.5";1,44858907500366;0,54486478395053
"287";1298;"Männlich";4;4;2;2;4;4;2;3;4;3;3;4;3;1;1;2;4;2;"3.2";"3.25";"1.5";1,78619631878534;1,72789714815254
"288";1299;"Männlich";3;3;3;2;3;2;3;2;3;4;3;3;2;1;1;2;5;1;"2.8";"2.75";"1.25";1,11098183122199;0,9392089053512
"289";1301;"Männlich";3;2;2;2;2;2;3;3;3;2;3;3;3;1;1;1;4;2;"2.2";"2.75";"1.25";0,0981600998769604;0,9392089053512
"290";1302;"Weiblich";2;2;1;1;1;2;3;1;1;1;1;1;1;1;1;1;5;1;"1.4";"1.375";"1";-1,25226887524974;-1,22968376235249
"291";1303;"Weiblich";3;2;1;2;2;2;2;2;4;2;3;3;3;3;2;1;5;1;"2";"2.625";"1.75";-0,239447143904715;0,742036844650865
